Analysis Type:	PANTHER Enrichment Test (release 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	alert.range.index.txt (Homo sapiens)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
GO molecular function complete	number	overUnder	pvalue	fdr
myo-inositol:sodium symporter activity (GO:0005367)	1	+	8.37E-01	9.60E-01
Roundabout binding (GO:0048495)	6	-	8.37E-01	9.60E-01
aspartate-tRNA(Asn) ligase activity (GO:0050560)	1	+	8.38E-01	9.60E-01
Hsp90 protein binding (GO:0051879)	38	-	8.38E-01	9.60E-01
adrenomedullin receptor binding (GO:0031700)	2	-	8.38E-01	9.60E-01
cholinesterase activity (GO:0004104)	4	+	8.38E-01	9.60E-01
molybdate ion transmembrane transporter activity (GO:0015098)	1	-	8.38E-01	9.60E-01
O-acetyltransferase activity (GO:0016413)	7	+	8.38E-01	9.60E-01
ADP binding (GO:0043531)	32	-	8.38E-01	9.59E-01
diacylglycerol binding (GO:0019992)	14	-	8.39E-01	9.60E-01
oxytocin receptor binding (GO:0031855)	1	-	8.39E-01	9.59E-01
bioactive lipid receptor activity (GO:0045125)	11	+	8.39E-01	9.59E-01
L-seryl-tRNA(Sec) kinase activity (GO:0043915)	1	-	8.39E-01	9.59E-01
dolichyl-phosphate-mannose-protein mannosyltransferase activity (GO:0004169)	7	+	8.39E-01	9.59E-01
insulin-like growth factor receptor activity (GO:0005010)	3	+	8.40E-01	9.60E-01
exodeoxyribonuclease I activity (GO:0008852)	1	-	8.40E-01	9.60E-01
alkylglycerone-phosphate synthase activity (GO:0008609)	1	+	8.40E-01	9.60E-01
active borate transmembrane transporter activity (GO:0046715)	1	+	8.42E-01	9.61E-01
solute:inorganic anion antiporter activity (GO:0005452)	11	+	8.42E-01	9.61E-01
U3 snoRNA binding (GO:0034511)	10	-	8.42E-01	9.61E-01
tubulin-tyrosine carboxypeptidase (GO:0106423)	2	+	8.42E-01	9.61E-01
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity (GO:0003976)	3	-	8.42E-01	9.61E-01
6-phosphogluconolactonase activity (GO:0017057)	2	-	8.42E-01	9.60E-01
ornithine decarboxylase activity (GO:0004586)	2	-	8.43E-01	9.61E-01
neurotrophin receptor activity (GO:0005030)	4	-	8.43E-01	9.61E-01
cysteine-type endopeptidase activity (GO:0004197)	87	-	8.43E-01	9.61E-01
four-way junction DNA binding (GO:0000400)	15	+	8.44E-01	9.61E-01
diacylglycerol cholinephosphotransferase activity (GO:0004142)	3	+	8.44E-01	9.61E-01
cyclic-GMP-AMP transmembrane transporter activity (GO:0140360)	2	+	8.44E-01	9.61E-01
inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity (GO:0051717)	2	+	8.44E-01	9.61E-01
adenine/guanine mispair binding (GO:0035485)	1	+	8.44E-01	9.60E-01
Unclassified (UNCLASSIFIED)	826	-	8.45E-01	9.61E-01
transaldolase activity (GO:0004801)	1	-	8.45E-01	9.61E-01
acylglycerol O-acyltransferase activity (GO:0016411)	28	-	8.45E-01	9.61E-01
5(S)-hydroxyperoxy-6E,8Z,11Z,14Z-icosatetraenoic acid binding (GO:0050648)	1	+	8.46E-01	9.62E-01
5-hydroxy-6E,8Z,11Z,14Z-icosatetraenoic acid binding (GO:0050647)	1	+	8.46E-01	9.61E-01
5-oxo-6E,8Z,11Z,14Z-icosatetraenoic acid binding (GO:0050646)	1	+	8.46E-01	9.61E-01
CCR3 chemokine receptor binding (GO:0031728)	3	+	8.46E-01	9.61E-01
protein-cysteine methyltransferase activity (GO:0106363)	2	+	8.46E-01	9.61E-01
serine-type peptidase activity (GO:0008236)	126	+	8.47E-01	9.61E-01
N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity (GO:0050509)	2	-	8.47E-01	9.61E-01
heparan sulfate N-acetylglucosaminyltransferase activity (GO:0042328)	2	-	8.47E-01	9.61E-01
arachidonic acid omega-hydroxylase activity (GO:0052869)	1	+	8.47E-01	9.61E-01
mRNA N-acetyltransferase activity (GO:0106162)	1	+	8.47E-01	9.61E-01
rRNA cytidine N-acetyltransferase activity (GO:1990883)	1	+	8.47E-01	9.61E-01
sulfur-containing amino acid secondary active transmembrane transporter activity (GO:1901680)	3	+	8.47E-01	9.60E-01
cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication (GO:0086083)	3	-	8.47E-01	9.60E-01
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen (GO:0016701)	16	-	8.47E-01	9.60E-01
microfibril binding (GO:0050436)	4	+	8.48E-01	9.61E-01
mitochondrial ribosome binding (GO:0097177)	7	-	8.48E-01	9.61E-01
complement component C3a receptor activity (GO:0004876)	1	+	8.48E-01	9.61E-01
superoxide-generating NADPH oxidase activator activity (GO:0016176)	8	-	8.49E-01	9.61E-01
palmitoleyl hydrolase activity (GO:1990699)	1	+	8.49E-01	9.61E-01
leptomycin B binding (GO:1901707)	1	+	8.49E-01	9.61E-01
lysine N-acetyltransferase activity, acting on acetyl phosphate as donor (GO:0004468)	3	+	8.49E-01	9.61E-01
orexin receptor activity (GO:0016499)	1	+	8.50E-01	9.62E-01
CMP-N-acetylneuraminate transmembrane transporter activity (GO:0005456)	1	+	8.51E-01	9.62E-01
nucleoside diphosphate kinase activity (GO:0004550)	16	+	8.51E-01	9.62E-01
intramolecular transferase activity, transferring hydroxy groups (GO:0050486)	2	-	8.51E-01	9.62E-01
phosphoglycolate phosphatase activity (GO:0008967)	2	+	8.51E-01	9.62E-01
hydroperoxy icosatetraenoate isomerase activity (GO:0106255)	2	-	8.51E-01	9.62E-01
NEDD8 transferase activity (GO:0019788)	6	-	8.51E-01	9.62E-01
N-acetylglucosamine deacetylase activity (GO:0050119)	2	-	8.51E-01	9.62E-01
interleukin-1 receptor activity (GO:0004908)	2	+	8.52E-01	9.62E-01
N6-methyladenosine-containing RNA binding (GO:1990247)	9	-	8.53E-01	9.62E-01
protein prenyltransferase activity (GO:0008318)	6	+	8.53E-01	9.63E-01
acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)	185	+	8.53E-01	9.62E-01
prostaglandin H2 endoperoxidase reductase activity (GO:0036130)	2	-	8.53E-01	9.62E-01
macrophage migration inhibitory factor binding (GO:0035718)	2	-	8.54E-01	9.63E-01
aspartic-type endopeptidase inhibitor activity (GO:0019828)	6	-	8.54E-01	9.63E-01
transforming growth factor beta receptor activity, type I (GO:0005025)	5	+	8.55E-01	9.63E-01
leukotriene receptor activity (GO:0004974)	3	+	8.55E-01	9.63E-01
serine-type carboxypeptidase activity (GO:0004185)	5	-	8.56E-01	9.64E-01
UDP-N-acetylgalactosamine transmembrane transporter activity (GO:0005463)	2	+	8.56E-01	9.64E-01
UDP-glucuronic acid transmembrane transporter activity (GO:0005461)	2	+	8.56E-01	9.64E-01
cysteine-type carboxypeptidase activity (GO:0016807)	2	+	8.56E-01	9.63E-01
UTP binding (GO:0002134)	3	-	8.56E-01	9.63E-01
growth factor receptor binding (GO:0070851)	87	-	8.56E-01	9.63E-01
H2A histone acetyltransferase activity (GO:0043998)	2	-	8.56E-01	9.63E-01
galactoside binding (GO:0016936)	4	+	8.56E-01	9.63E-01
prostacyclin receptor activity (GO:0016501)	1	-	8.56E-01	9.63E-01
acetylcholinesterase activity (GO:0003990)	2	-	8.56E-01	9.63E-01
sulfate binding (GO:0043199)	4	+	8.56E-01	9.62E-01
triglyceride transfer activity (GO:0140344)	1	-	8.57E-01	9.63E-01
neuromedin U binding (GO:0042924)	1	+	8.57E-01	9.63E-01
neuromedin U receptor activity (GO:0001607)	1	+	8.57E-01	9.63E-01
ammonia-lyase activity (GO:0016841)	4	-	8.57E-01	9.63E-01
[heparan sulfate]-glucosamine 3-sulfotransferase 3 activity (GO:0033872)	1	+	8.58E-01	9.63E-01
pre-mRNA intronic pyrimidine-rich binding (GO:0097158)	2	+	8.58E-01	9.63E-01
telomeric D-loop binding (GO:0061821)	4	-	8.58E-01	9.62E-01
D-loop DNA binding (GO:0062037)	4	-	8.58E-01	9.62E-01
oxidoreductase activity, acting on CH or CH2 groups (GO:0016725)	6	+	8.58E-01	9.62E-01
allyl-alcohol dehydrogenase activity (GO:0047655)	2	+	8.58E-01	9.62E-01
glycerol dehydrogenase [NAD(P)+] activity (GO:1990042)	2	+	8.58E-01	9.62E-01
glycerol dehydrogenase [NADP+] activity (GO:0047956)	2	+	8.58E-01	9.62E-01
extracellular matrix constituent, lubricant activity (GO:0030197)	2	+	8.59E-01	9.62E-01
urokinase plasminogen activator receptor activity (GO:0030377)	1	+	8.59E-01	9.62E-01
aconitate hydratase activity (GO:0003994)	3	-	8.59E-01	9.62E-01
dynein complex binding (GO:0070840)	20	-	8.59E-01	9.62E-01
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	38	-	8.60E-01	9.62E-01
creatine transmembrane transporter activity (GO:0005308)	3	+	8.61E-01	9.63E-01
ciliary neurotrophic factor receptor activity (GO:0004897)	6	+	8.61E-01	9.63E-01
amino acid:proton symporter activity (GO:0005280)	4	+	8.61E-01	9.63E-01
retinoic acid-responsive element binding (GO:0044323)	5	-	8.61E-01	9.63E-01
protein-hormone receptor activity (GO:0016500)	11	+	8.62E-01	9.64E-01
ATPase-coupled ion transmembrane transporter activity (GO:0042625)	20	+	8.62E-01	9.64E-01
proton-transporting ATPase activity, rotational mechanism (GO:0046961)	20	+	8.62E-01	9.63E-01
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	20	+	8.62E-01	9.63E-01
sulfatide binding (GO:0120146)	6	+	8.63E-01	9.63E-01
glutathione dehydrogenase (ascorbate) activity (GO:0045174)	2	+	8.63E-01	9.64E-01
methylarsonate reductase activity (GO:0050610)	2	+	8.63E-01	9.63E-01
mRNA (guanine-N7-)-methyltransferase activity (GO:0004482)	1	+	8.63E-01	9.63E-01
long-chain fatty acid binding (GO:0036041)	10	-	8.63E-01	9.63E-01
HNK-1 sulfotransferase activity (GO:0016232)	1	+	8.64E-01	9.63E-01
telomeric repeat-containing RNA binding (GO:0061752)	2	+	8.64E-01	9.63E-01
type II transforming growth factor beta receptor binding (GO:0005114)	8	+	8.64E-01	9.63E-01
L-pipecolate oxidase activity (GO:0050031)	1	+	8.64E-01	9.63E-01
sarcosine oxidase activity (GO:0008115)	1	+	8.64E-01	9.63E-01
interleukin-1, type II receptor binding (GO:0005151)	1	-	8.64E-01	9.63E-01
aspartic-type peptidase activity (GO:0070001)	21	+	8.64E-01	9.63E-01
choloyl-CoA hydrolase activity (GO:0033882)	2	-	8.65E-01	9.63E-01
medium-chain acyl-CoA hydrolase activity (GO:0052815)	2	-	8.65E-01	9.63E-01
serotonin:sodium symporter activity (GO:0005335)	3	+	8.65E-01	9.63E-01
structural constituent of postsynapse (GO:0099186)	14	+	8.66E-01	9.63E-01
quaternary ammonium group binding (GO:0050997)	31	+	8.66E-01	9.63E-01
substance P receptor activity (GO:0016496)	1	+	8.66E-01	9.63E-01
sepiapterin reductase activity (GO:0004757)	1	+	8.66E-01	9.63E-01
lipoprotein particle receptor activity (GO:0030228)	15	+	8.67E-01	9.64E-01
phosphatidylserine transfer activity (GO:0140343)	2	-	8.67E-01	9.64E-01
FHA domain binding (GO:0070975)	2	-	8.67E-01	9.64E-01
mitogen-activated protein kinase kinase kinase binding (GO:0031435)	13	-	8.67E-01	9.64E-01
dihydrosphingosine-1-phosphate phosphatase activity (GO:0070780)	2	-	8.68E-01	9.64E-01
phosphorylase kinase regulator activity (GO:0008607)	3	+	8.68E-01	9.64E-01
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	11	-	8.68E-01	9.64E-01
BH domain binding (GO:0051400)	8	-	8.69E-01	9.64E-01
laminin receptor activity (GO:0005055)	2	+	8.70E-01	9.65E-01
N-acetylneuraminate 7-O(or 9-O)-acetyltransferase activity (GO:0047186)	1	+	8.70E-01	9.65E-01
catalytic activity, acting on a tRNA (GO:0140101)	121	+	8.70E-01	9.65E-01
cysteine-type endopeptidase inhibitor activity involved in apoptotic process (GO:0043027)	16	+	8.71E-01	9.66E-01
cytoskeletal protein-membrane anchor activity (GO:0106006)	4	+	8.71E-01	9.66E-01
polynucleotide 5'-hydroxyl-kinase activity (GO:0051731)	4	+	8.71E-01	9.66E-01
acetyl-CoA binding (GO:1905502)	2	+	8.72E-01	9.66E-01
glycerophosphodiester phosphodiesterase activity (GO:0008889)	4	-	8.72E-01	9.66E-01
corticotropin-releasing hormone activity (GO:0017045)	1	+	8.73E-01	9.66E-01
G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099579)	2	-	8.73E-01	9.66E-01
calcium sensitive guanylate cyclase activator activity (GO:0008048)	2	+	8.73E-01	9.66E-01
polyprenyltransferase activity (GO:0002094)	2	+	8.73E-01	9.67E-01
glutamate-tRNA ligase activity (GO:0004818)	2	+	8.73E-01	9.66E-01
ubiquitin conjugating enzyme activity (GO:0061631)	34	+	8.73E-01	9.66E-01
galactosidase activity (GO:0015925)	4	-	8.74E-01	9.66E-01
phospholipase A2 activator activity (GO:0016005)	2	-	8.74E-01	9.66E-01
triglyceride lipase activity (GO:0004806)	14	-	8.75E-01	9.67E-01
asparagine-tRNA ligase activity (GO:0004816)	2	-	8.75E-01	9.67E-01
NADP binding (GO:0050661)	47	-	8.75E-01	9.67E-01
diphosphotransferase activity (GO:0016778)	6	+	8.75E-01	9.67E-01
ketosteroid monooxygenase activity (GO:0047086)	3	+	8.76E-01	9.67E-01
malate transmembrane transporter activity (GO:0015140)	3	+	8.76E-01	9.67E-01
oxaloacetate transmembrane transporter activity (GO:0015131)	3	+	8.76E-01	9.67E-01
thiosulfate transmembrane transporter activity (GO:0015117)	3	+	8.76E-01	9.67E-01
raffinose alpha-galactosidase activity (GO:0052692)	1	-	8.76E-01	9.66E-01
galactosylgalactosylglucosylceramidase activity (GO:0017041)	1	-	8.76E-01	9.66E-01
xylosyl alpha-1,3-xylosyltransferase activity (GO:0140560)	1	-	8.76E-01	9.66E-01
carbohydrate binding (GO:0030246)	181	+	8.77E-01	9.67E-01
tachykinin receptor activity (GO:0004995)	2	+	8.77E-01	9.67E-01
G protein-coupled bile acid receptor activity (GO:0038182)	1	+	8.78E-01	9.67E-01
bile acid receptor activity (GO:0038181)	1	+	8.78E-01	9.67E-01
IDP phosphatase activity (GO:1990003)	3	-	8.78E-01	9.67E-01
patched binding (GO:0005113)	6	+	8.78E-01	9.67E-01
NAD+ ADP-ribosyltransferase activity (GO:0003950)	21	+	8.79E-01	9.67E-01
heme transmembrane transporter activity (GO:0015232)	8	-	8.79E-01	9.68E-01
glycolipid floppase activity (GO:0034202)	1	-	8.79E-01	9.68E-01
lanosterol synthase activity (GO:0000250)	1	-	8.79E-01	9.68E-01
oxidosqualene cyclase activity (GO:0031559)	1	-	8.79E-01	9.67E-01
phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity (GO:0043813)	5	+	8.80E-01	9.68E-01
inward rectifier potassium channel inhibitor activity (GO:0070320)	1	-	8.80E-01	9.68E-01
structural constituent of skin epidermis (GO:0030280)	15	-	8.80E-01	9.68E-01
heparan sulfate binding (GO:1904399)	6	-	8.82E-01	9.69E-01
transketolase or transaldolase activity (GO:0016744)	4	-	8.82E-01	9.69E-01
melanin-concentrating hormone receptor activity (GO:0030273)	1	+	8.82E-01	9.69E-01
SMAD binding (GO:0046332)	70	-	8.83E-01	9.69E-01
single-stranded DNA 3'-5' exodeoxyribonuclease activity (GO:0008310)	3	-	8.84E-01	9.70E-01
small molecule sensor activity (GO:0140299)	27	+	8.84E-01	9.70E-01
cuprous ion binding (GO:1903136)	8	-	8.84E-01	9.70E-01
(3R)-hydroxyacyl-CoA dehydrogenase (NAD) activity (GO:0106386)	2	+	8.84E-01	9.70E-01
N,N-dimethylaniline monooxygenase activity (GO:0004499)	3	-	8.85E-01	9.70E-01
phosphomannomutase activity (GO:0004615)	2	+	8.85E-01	9.70E-01
type 5 melanocortin receptor binding (GO:0031783)	1	-	8.85E-01	9.71E-01
corticotropin hormone receptor binding (GO:0031780)	1	-	8.85E-01	9.71E-01
protein tyrosine phosphatase activity (GO:0004725)	90	+	8.87E-01	9.71E-01
sphingosine-1-phosphate receptor activity (GO:0038036)	7	-	8.87E-01	9.72E-01
P-type monovalent copper transporter activity (GO:0140581)	2	-	8.87E-01	9.71E-01
P-type divalent copper transporter activity (GO:0043682)	2	-	8.87E-01	9.71E-01
pre-mRNA binding (GO:0036002)	33	-	8.87E-01	9.71E-01
melanocortin receptor activity (GO:0004977)	2	-	8.87E-01	9.71E-01
sphingomyelin phosphodiesterase activator activity (GO:0016230)	2	-	8.88E-01	9.71E-01
clathrin-uncoating ATPase activity (GO:1990833)	1	+	8.88E-01	9.71E-01
cytidylyltransferase activity (GO:0070567)	10	+	8.89E-01	9.73E-01
choline O-acetyltransferase activity (GO:0004102)	1	+	8.90E-01	9.73E-01
ligase activity, forming carbon-nitrogen bonds (GO:0016879)	39	-	8.90E-01	9.73E-01
thyroid hormone transmembrane transporter activity (GO:0015349)	6	-	8.91E-01	9.73E-01
L-serine transmembrane transporter activity (GO:0015194)	9	-	8.91E-01	9.73E-01
protein kinase A regulatory subunit binding (GO:0034237)	23	-	8.91E-01	9.73E-01
glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity (GO:0050508)	3	+	8.91E-01	9.73E-01
opsonin receptor activity (GO:0001847)	2	+	8.91E-01	9.73E-01
peroxisome matrix targeting signal-2 binding (GO:0005053)	1	-	8.92E-01	9.73E-01
oxidoreductase activity, acting on the aldehyde or oxo group of donors (GO:0016903)	38	+	8.92E-01	9.73E-01
iron-responsive element binding (GO:0030350)	2	-	8.93E-01	9.74E-01
lipase inhibitor activity (GO:0055102)	11	-	8.93E-01	9.74E-01
potassium channel regulator activity (GO:0015459)	48	-	8.93E-01	9.74E-01
phospholipid transfer activity (GO:0120014)	24	-	8.94E-01	9.74E-01
testosterone 6-beta-hydroxylase activity (GO:0050649)	2	+	8.94E-01	9.74E-01
serpin family protein binding (GO:0097655)	1	+	8.94E-01	9.75E-01
17-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0072582)	3	+	8.95E-01	9.75E-01
peptide hormone receptor binding (GO:0051428)	15	-	8.95E-01	9.75E-01
phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:0034485)	7	+	8.95E-01	9.75E-01
intracellular cAMP-activated cation channel activity (GO:0005222)	4	+	8.96E-01	9.76E-01
interleukin-8 receptor binding (GO:0005153)	2	+	8.97E-01	9.76E-01
D3 vitamins binding (GO:1902271)	2	-	8.97E-01	9.76E-01
histone methyltransferase activity (H4-K20 specific) (GO:0042799)	7	+	8.97E-01	9.76E-01
neurotrophin TRKA receptor binding (GO:0005168)	6	-	8.97E-01	9.76E-01
neurotrophin TRK receptor binding (GO:0005167)	6	-	8.97E-01	9.76E-01
succinate transmembrane transporter activity (GO:0015141)	6	-	8.97E-01	9.76E-01
protein xylosyltransferase activity (GO:0030158)	2	-	8.98E-01	9.76E-01
gap junction channel activity involved in cell communication by electrical coupling (GO:1903763)	4	-	8.98E-01	9.76E-01
peptide hormone binding (GO:0017046)	37	+	8.98E-01	9.76E-01
R-SMAD binding (GO:0070412)	22	-	8.98E-01	9.76E-01
transcription elongation factor activity (GO:0003711)	5	-	8.98E-01	9.76E-01
vitamin D3 25-hydroxylase activity (GO:0030343)	2	-	8.99E-01	9.76E-01
vitamin D 25-hydroxylase activity (GO:0070643)	2	-	8.99E-01	9.76E-01
histone H3-methyl-arginine-3 demethylase activity (GO:0033749)	1	+	8.99E-01	9.76E-01
histone H3-methyl-arginine-2 demethylase activity (GO:0033746)	1	+	8.99E-01	9.76E-01
steryl-beta-glucosidase activity (GO:0050295)	2	+	9.00E-01	9.76E-01
glucosylceramidase activity (GO:0004348)	2	+	9.00E-01	9.76E-01
beta-glucosidase activity (GO:0008422)	2	+	9.00E-01	9.76E-01
urea transmembrane transporter activity (GO:0015204)	2	-	9.00E-01	9.75E-01
sterol transfer activity (GO:0120015)	20	-	9.01E-01	9.76E-01
metallocarboxypeptidase activity (GO:0004181)	17	-	9.01E-01	9.77E-01
molybdopterin-synthase adenylyltransferase activity (GO:0061605)	1	+	9.02E-01	9.77E-01
molybdopterin-synthase sulfurtransferase activity (GO:0061604)	1	+	9.02E-01	9.77E-01
URM1 activating enzyme activity (GO:0042292)	1	+	9.02E-01	9.77E-01
intraciliary transport particle B binding (GO:0120170)	4	+	9.02E-01	9.77E-01
deaminated base DNA N-glycosylase activity (GO:0097506)	3	-	9.03E-01	9.77E-01
uracil DNA N-glycosylase activity (GO:0004844)	3	-	9.03E-01	9.77E-01
cyclase activity (GO:0009975)	17	+	9.03E-01	9.76E-01
phosphatidylethanolamine binding (GO:0008429)	9	-	9.03E-01	9.77E-01
carbonate dehydratase activity (GO:0004089)	11	+	9.03E-01	9.77E-01
CCR10 chemokine receptor binding (GO:0031735)	2	+	9.04E-01	9.77E-01
RNA polymerase I transcription regulatory region sequence-specific DNA binding (GO:0001163)	9	-	9.04E-01	9.77E-01
minor groove of adenine-thymine-rich DNA binding (GO:0003680)	8	-	9.04E-01	9.77E-01
kisspeptin receptor binding (GO:0031773)	1	+	9.04E-01	9.77E-01
NAD+-protein-arginine ADP-ribosyltransferase activity (GO:0106274)	4	-	9.04E-01	9.77E-01
hydroxypyruvate reductase activity (GO:0016618)	1	+	9.05E-01	9.77E-01
glyoxylate reductase activity (GO:0106345)	1	+	9.05E-01	9.77E-01
glycerate dehydrogenase activity (GO:0008465)	1	+	9.05E-01	9.77E-01
glyoxylate reductase (NADP+) activity (GO:0030267)	1	+	9.05E-01	9.76E-01
protein kinase A catalytic subunit binding (GO:0034236)	13	-	9.05E-01	9.77E-01
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	16	-	9.06E-01	9.77E-01
transcription regulator activator activity (GO:0140537)	4	-	9.06E-01	9.77E-01
GTPase binding (GO:0051020)	291	+	9.06E-01	9.77E-01
telomeric DNA binding (GO:0042162)	36	+	9.07E-01	9.77E-01
importin-alpha family protein binding (GO:0061676)	8	+	9.07E-01	9.77E-01
CP2 mannose-ethanolamine phosphotransferase activity (GO:0051267)	1	-	9.07E-01	9.77E-01
hormone-sensitive lipase activity (GO:0033878)	2	-	9.08E-01	9.77E-01
copper-dependent protein binding (GO:0032767)	3	+	9.08E-01	9.77E-01
pseudouridine synthase activity (GO:0009982)	12	-	9.08E-01	9.77E-01
coreceptor activity involved in canonical Wnt signaling pathway (GO:1904928)	3	-	9.08E-01	9.77E-01
rRNA (adenine-N6-)-methyltransferase activity (GO:0008988)	3	-	9.08E-01	9.77E-01
core promoter sequence-specific DNA binding (GO:0001046)	37	+	9.09E-01	9.77E-01
Toll-like receptor 4 binding (GO:0035662)	3	+	9.10E-01	9.78E-01
[acetyl-CoA carboxylase] kinase activity (GO:0050405)	2	+	9.10E-01	9.79E-01
